,FECHA,HORA,NUM_PERS_IMPLS
0,01/01/2010,00:00,3
1,01/01/2010,01:00,8
2,01/01/2010,02:00,2
3,01/01/2010,04:00,11
4,01/01/2010,05:00,3
5,01/01/2010,08:00,2
6,01/01/2010,09:00,6
7,01/01/2010,20:00,5
8,01/01/2010,21:00,12
9,01/02/2010,09:00,5
10,01/02/2010,10:00,5
11,01/02/2010,11:00,3
12,01/02/2010,12:00,12
13,01/02/2010,13:00,5
14,01/02/2010,14:00,15
15,01/02/2010,15:00,3
16,01/02/2010,17:00,2
17,01/02/2010,18:00,6
18,01/02/2010,19:00,3
19,01/02/2010,20:00,6
20,01/02/2010,21:00,7
21,01/02/2010,22:00,12
22,01/03/2010,01:00,2
23,01/03/2010,06:00,2
24,01/03/2010,08:00,4
25,01/03/2010,09:00,10
26,01/03/2010,11:00,6
27,01/03/2010,13:00,2
28,01/03/2010,14:00,2
29,01/03/2010,15:00,9
30,01/03/2010,16:00,3
31,01/03/2010,17:00,5
32,01/03/2010,18:00,4
33,01/03/2010,19:00,3
34,01/03/2010,20:00,8
35,01/03/2010,21:00,8
36,01/03/2010,22:00,3
37,01/04/2010,03:00,2
38,01/04/2010,05:00,10
39,01/04/2010,16:00,6
40,01/04/2010,17:00,2
41,01/04/2010,18:00,2
42,01/04/2010,19:00,3
43,01/04/2010,21:00,3
44,01/05/2010,00:00,11
45,01/05/2010,01:00,15
46,01/05/2010,02:00,3
47,01/05/2010,05:00,11
48,01/05/2010,06:00,13
49,01/05/2010,11:00,2
50,01/05/2010,12:00,2
51,01/05/2010,14:00,2
52,01/05/2010,17:00,5
53,01/05/2010,20:00,6
54,01/05/2010,21:00,14
55,01/05/2010,22:00,6
56,01/05/2010,23:00,9
57,01/06/2010,07:00,4
58,01/06/2010,08:00,3
59,01/06/2010,09:00,13
60,01/06/2010,10:00,10
61,01/06/2010,11:00,5
62,01/06/2010,12:00,4
63,01/06/2010,13:00,7
64,01/06/2010,14:00,7
65,01/06/2010,15:00,2
66,01/06/2010,16:00,6
67,01/06/2010,17:00,6
68,01/06/2010,19:00,2
69,01/06/2010,20:00,16
70,01/06/2010,21:00,8
71,01/06/2010,23:00,5
72,01/07/2010,03:00,3
73,01/07/2010,06:00,5
74,01/07/2010,08:00,8
75,01/07/2010,09:00,3
76,01/07/2010,10:00,2
77,01/07/2010,11:00,6
78,01/07/2010,12:00,7
